Rhodamine 6G in methanol1,,
Wavelength (nm),Abs,
800,-0.003339566989,
799,-0.004480910487,
798,-0.004834172782,
797,-0.004875488579,
796,-0.004113565665,
795,-0.004632761236,
794,-0.004241910297,
793,-0.003956711385,
792,-0.003560989629,
791,-0.003352462081,
790,-0.004196842667,
789,-0.004804783501,
788,-0.004680805374,
787,-0.005028838292,
786,-0.003899505595,
785,-0.004387796856,
784,-0.004522925708,
783,-0.00406956207,
782,-0.003866101848,
781,-0.003174363868,
780,-0.003668450285,
779,-0.004282308277,
778,-0.003321431112,
777,-0.002982001519,
776,-0.003159561893,
775,-0.003488940885,
774,-0.003423814429,
773,-0.003826742992,
772,-0.003506915644,
771,-0.002884091111,
770,-0.003266556421,
769,-0.003665986005,
768,-0.004061150365,
767,-0.003172410885,
766,-0.003688676283,
765,-0.003443332855,
764,-0.003720964305,
763,-0.003596573137,
762,-0.003357239766,
761,-0.003264090046,
760,-0.003241274739,
759,-0.003095516935,
758,-0.003597702831,
757,-0.004261802416,
756,-0.003762231907,
755,-0.004430436064,
754,-0.003357445123,
753,-0.003498339094,
752,-0.004327315837,
751,-0.00308220298,
750,-0.003926903941,
749,-0.003636723151,
748,-0.003430234967,
747,-0.003035061294,
746,-0.003261983162,
745,-0.003314495087,
744,-0.003214963945,
743,-0.003235108219,
742,-0.003763155546,
741,-0.003173798556,
740,-0.003756739898,
739,-0.003379278351,
738,-0.003115512663,
737,-0.003394124098,
736,-0.003127026604,
735,-0.003656232031,
734,-0.003003185149,
733,-0.003800467588,
732,-0.003710338846,
731,-0.003368182108,
730,-0.003366281278,
729,-0.003143423004,
728,-0.003284951439,
727,-0.003234234639,
726,-0.003081997391,
725,-0.003706180956,
724,-0.0031081622,
723,-0.003215426346,
722,-0.003311206819,
721,-0.003235467942,
720,-0.002822011709,
719,-0.002916644793,
718,-0.003118442604,
717,-0.003163930494,
716,-0.002995267045,
715,-0.002735589631,
714,-0.002956394805,
713,-0.002710688626,
712,-0.003018146614,
711,-0.002925592707,
710,-0.00292147859,
709,-0.002606027061,
708,-0.00303084543,
707,-0.002979276236,
706,-0.002972797723,
705,-0.002587191528,
704,-0.002947035944,
703,-0.002462629694,
702,-0.002690108027,
701,-0.002932843287,
700,-0.002620436251,
699,-0.002767742611,
698,-0.002560171764,
697,-0.002473234199,
696,-0.002721132711,
695,-0.00281481049,
694,-0.002437867457,
693,-0.002203406068,
692,-0.002581427339,
691,-0.00259310985,
690,-0.002458253875,
689,-0.002539687091,
688,-0.002376239048,
687,-0.002755087335,
686,-0.002270003315,
685,-0.00264729769,
684,-0.002567068441,
683,-0.002281642519,
682,-0.002515546978,
681,-0.002358011203,
680,-0.002500310773,
679,-0.002563877497,
678,-0.002685734536,
677,-0.002987657441,
676,-0.002393075731,
675,-0.002541385591,
674,-0.002734097652,
673,-0.003035832429,
672,-0.003057990223,
671,-0.002915050602,
670,-0.002939785598,
669,-0.0026787885,
668,-0.003170149401,
667,-0.002842534333,
666,-0.00304318429,
665,-0.00291150203,
664,-0.003020460252,
663,-0.00309371762,
662,-0.003481493797,
661,-0.003107185476,
660,-0.003446979681,
659,-0.003498339094,
658,-0.003220462473,
657,-0.003497363301,
656,-0.00335718831,
655,-0.003247338347,
654,-0.003464853391,
653,-0.003372291801,
652,-0.003623785218,
651,-0.003581169527,
650,-0.003327801824,
649,-0.00372460857,
648,-0.003829668043,
647,-0.003694066312,
646,-0.003664856544,
645,-0.003815196455,
644,-0.003940345719,
643,-0.003922440112,
642,-0.004011139739,
641,-0.003924133256,
640,-0.00412028376,
639,-0.003778963583,
638,-0.004231041297,
637,-0.003910331521,
636,-0.004028580151,
635,-0.004272055347,
634,-0.00414115563,
633,-0.004038479645,
632,-0.003958763555,
631,-0.004210225306,
630,-0.004271952901,
629,-0.004316551145,
628,-0.004069254268,
627,-0.004332954064,
626,-0.004281231668,
625,-0.004325777758,
624,-0.004292304628,
623,-0.004225248005,
622,-0.004367602989,
621,-0.004364886787,
620,-0.00430957973,
619,-0.004002009053,
618,-0.004378981423,
617,-0.004265647382,
616,-0.00434243679,
615,-0.004481576849,
614,-0.004604024347,
613,-0.004358274862,
612,-0.004002522212,
611,-0.0041240789,
610,-0.004264980555,
609,-0.004362118896,
608,-0.004639931954,
607,-0.004257444758,
606,-0.003994416911,
605,-0.004271901678,
604,-0.004443913698,
603,-0.004619647749,
602,-0.004380057566,
601,-0.004387950525,
600,-0.004103154875,
599,-0.004349766299,
598,-0.004448832944,
597,-0.004200329538,
596,-0.00420581596,
595,-0.004118181299,
594,-0.004184075631,
593,-0.003996110056,
592,-0.004399687052,
591,-0.00414115563,
590,-0.004313475452,
589,-0.004189356696,
588,-0.004480603151,
587,-0.004412704147,
586,-0.004043967929,
