#Daily and Multi-day air quality monitoring data
#Measured data - All Data are GMT hour ending
#Data for year 2016
#"Multi-day data",,
#London Westminster,,
Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
#Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
01/01/2021,07/01/2021,0.695,V ngm-3,0.0755,V ngm-3,0.035,V ngm-3,1.1,V ngm-3,7.25,V ngm-3,208.3,V ngm-3,,,2.901,V ngm-3,0.324,V ngm-3,3.41,V ngm-3,0.28,V ngm-3,0.412,V ngm-3,7.78,V ngm-3,
07/01/2021,04/02/2021,1.11,V ngm-3,0.1513,V ngm-3,0.06,V ngm-3,1.1,V ngm-3,8.15,V ngm-3,297.5,V ngm-3,,,4.063,V ngm-3,0.501,V ngm-3,7.23,V ngm-3,0.34,V ngm-3,0.583,V ngm-3,14.41,V ngm-3,
04/02/2021,04/03/2021,0.768,V ngm-3,0.1202,V ngm-3,0.092,V ngm-3,1.4,V ngm-3,7.58,V ngm-3,389,V ngm-3,,,6.095,V ngm-3,0.806,V ngm-3,5.81,V ngm-3,0.63,V ngm-3,1.435,V ngm-3,16.92,V ngm-3,
04/03/2021,01/04/2021,0.907,V ngm-3,0.1456,V ngm-3,0.091,V ngm-3,1.5,V ngm-3,10.17,V ngm-3,431.4,V ngm-3,,,5.425,V ngm-3,0.672,V ngm-3,6.96,V ngm-3,0.59,V ngm-3,1.034,V ngm-3,17.75,V ngm-3,
01/04/2021,29/04/2021,0.825,V ngm-3,0.117,V ngm-3,0.118,V ngm-3,1.8,V ngm-3,11.09,V ngm-3,490.3,V ngm-3,,,6.389,V ngm-3,1.036,V ngm-3,5.7,V ngm-3,0.33,V ngm-3,1.75,V ngm-3,18.56,V ngm-3,
29/04/2021,27/05/2021,0.722,V ngm-3,0.0553,V ngm-3,0.052,V ngm-3,0.7,V ngm-3,6.74,V ngm-3,258.7,V ngm-3,,,3.435,V ngm-3,0.419,V ngm-3,3.83,V ngm-3,0.32,V ngm-3,0.571,V ngm-3,10.08,V ngm-3,
27/05/2021,24/06/2021,0.732,V ngm-3,0.1016,V ngm-3,0.095,V ngm-3,1.8,V ngm-3,9.25,V ngm-3,398.4,V ngm-3,,,6.368,V ngm-3,1.017,V ngm-3,6.89,V ngm-3,0.58,V ngm-3,1.892,V ngm-3,18.26,V ngm-3,
24/06/2021,22/07/2021,0.681,V ngm-3,0.0944,V ngm-3,0.1,V ngm-3,2,V ngm-3,9.89,V ngm-3,405.2,V ngm-3,,,5.493,V ngm-3,0.975,V ngm-3,5.18,V ngm-3,0.58,V ngm-3,1.528,V ngm-3,14.48,V ngm-3,
22/07/2021,19/08/2021,0.434,V ngm-3,0.0716,V ngm-3,0.061,V ngm-3,1.2,V ngm-3,7.36,V ngm-3,278.1,V ngm-3,,,3.468,V ngm-3,1.094,V ngm-3,3.52,V ngm-3,0.38,V ngm-3,1.107,V ngm-3,10.57,V ngm-3,
19/08/2021,16/09/2021,0.637,V ngm-3,0.092,V ngm-3,0.085,V ngm-3,2.7,V ngm-3,11.39,V ngm-3,449.7,V ngm-3,,,8.191,V ngm-3,0.855,V ngm-3,5.57,V ngm-3,0.62,V ngm-3,1.238,V ngm-3,17.51,V ngm-3,
16/09/2021,14/10/2021,0.937,V ngm-3,0.1397,V ngm-3,0.088,V ngm-3,2.7,V ngm-3,13.82,V ngm-3,498.7,V ngm-3,,,5.601,V ngm-3,0.818,V ngm-3,8.4,V ngm-3,0.52,V ngm-3,1.103,V ngm-3,18.79,V ngm-3,
14/10/2021,10/11/2021,1.163,V ngm-3,0.1334,V ngm-3,0.104,V ngm-3,3.1,V ngm-3,17.26,V ngm-3,433.4,V ngm-3,,,5.031,V ngm-3,0.792,V ngm-3,4.53,V ngm-3,0.32,V ngm-3,0.807,V ngm-3,22.18,V ngm-3,
10/11/2021,08/12/2021,0.922,V ngm-3,0.2313,V ngm-3,0.085,V ngm-3,2.7,V ngm-3,13.5,V ngm-3,474.3,V ngm-3,,,5.152,V ngm-3,0.624,V ngm-3,9.11,V ngm-3,0.4,V ngm-3,0.397,V ngm-3,31.62,V ngm-3,
08/12/2021,31/12/2021,0.444,V ngm-3,0.0719,V ngm-3,0.077,V ngm-3,1.3,V ngm-3,8.62,V ngm-3,270,V ngm-3,,,3.497,V ngm-3,0.527,V ngm-3,2.91,V ngm-3,0.3,V ngm-3,0.646,V ngm-3,10.78,V ngm-3,
,,,,,,,,,,,,,,,,,,,,,,,,,,

